DistrictID,DistrictName,Total,FireWood,CropResidue,CowdungCake,Coal,Kerosene,LPG,Electricity,Biogas,Other,NoCooking,pctFireWood,pctbiomass, pop ,category,TotalRural,RFireWood,RCropResidue,RCowdungCake,RCoal,RKerosene,RLPG,RElectricity,RBiogas,ROther,RNoCooking,pctRFireWood,pctbiomass,pctbiomass,category,TotalUrban,UFireWood,UCropResidue,UCowdungCake,UCoal,UKerosene,ULPG,UElectricity,UBiogas,UOther,UNoCooking,pctUFireWood,pctbiomass,category
15785, Gaya ,690505,239076,"92,836","2,56,318","24,460","2,105","57,738",989,"3,695","12,165","1,123",34.62,34," 3,452,525 ",Total,603194,227632,"89,577","2,47,854","8,253","1,061","12,251",845,"3,080","11,776",865,37.74,97.00,96.00,Rural,87311,11444,"3,259","8,464","16,207","1,044","45,487",144,615,389,258,13.11,45.54,Urban
15786, Gopalganj ,421727,203644,"1,67,296","15,611",584,745,"31,193",448,446,992,768,48.29,48," 2,108,635 ",Total,396391,193873,"1,63,089","15,023",396,515,"21,018",430,412,950,685,48.91,94.18,94.00,Rural,25336,9771,"4,207",588,188,230,"10,175",18,34,42,83,38.57,58.40,Urban
15787, Jamui ,308291,166832,"43,587","73,908","4,500","1,175","12,984",435,817,"3,448",605,54.12,54," 1,541,455 ",Total,283684,158490,"41,308","70,484","1,792",881,"6,084",376,667,"3,128",474,55.87,97.01,97.00,Rural,24607,8342,"2,279","3,424","2,708",294,"6,900",59,150,320,131,33.90,69.38,Urban
15788, Jehanabad ,181646,32428,"21,977","1,02,344","3,148",540,"15,507",207,"1,065","4,098",332,17.85,17," 908,230 ",Total,159632,29179,"20,556","98,088",946,404,"5,537",188,997,"3,485",252,18.28,95.38,95.00,Rural,22014,3249,"1,421","4,256","2,202",136,"9,970",19,68,613,80,14.76,53.33,Urban
15789, Katihar ,617063,115107,"4,34,305","26,140","1,002",715,"32,570",393,393,"5,354","1,084",18.65,18," 3,085,315 ",Total,563679,94493,"4,28,503","24,931",505,375,"8,284",368,305,"5,023",892,16.76,98.19,98.00,Rural,53384,20614,"5,802","1,209",497,340,"24,286",25,88,331,192,38.61,53.30,Urban
15790, Khagaria ,327701,79558,"2,07,818","21,869",539,337,"15,401",241,227,"1,213",498,24.28,24," 1,638,505 ",Total,312199,74027,"2,05,096","21,378",422,286,"8,957",235,189,"1,151",458,23.71,96.76,96.00,Rural,15502,5531,"2,722",491,117,51,"6,444",6,38,62,40,35.68,57.56,Urban
15791, Kishanganj ,335711,50489,"2,52,779","9,995",517,598,"11,715",126,359,"8,431",702,15.04,15," 1,678,555 ",Total,304695,38159,"2,45,864","9,229",209,467,"1,613",111,335,"8,126",582,12.52,98.98,98.00,Rural,31016,12330,"6,915",766,308,131,"10,102",15,24,305,120,39.75,66.49,Urban
15792, Lakhisarai ,164430,49609,"32,743","64,932","1,408",723,"12,938",318,366,965,428,30.17,30," 822,150 ",Total,140728,42610,"31,019","59,062",490,404,"5,803",284,337,456,263,30.28,94.96,94.00,Rural,23702,6999,"1,724","5,870",918,319,"7,135",34,29,509,165,29.53,67.59,Urban
15793, Madhepura ,401001,126145,"2,10,589","46,472",658,260,"12,302",239,309,"3,444",583,31.46,31," 2,005,005 ",Total,383792,118044,"2,08,767","45,963",602,162,"5,841",228,296,"3,374",515,30.76,98.17,98.00,Rural,17209,8101,"1,822",509,56,98,"6,461",11,13,70,68,47.07,61.35,Urban
15794, Madhubani ,901539,411297,"1,68,676","2,46,824","1,344","2,279","47,090","1,356","1,665","18,924","2,084",45.62,45," 4,507,695 ",Total,871575,399471,"1,65,884","2,44,442","1,161","1,948","35,219","1,334","1,550","18,651","1,915",45.83,95.19,95.00,Rural,29964,11826,"2,792","2,382",183,331,"11,871",22,115,273,169,39.47,58.26,Urban
15795, Munger ,263749,119178,"33,151","54,949","2,841","1,137","49,141",194,784,"1,855",519,45.19,45," 1,318,745 ",Total,193801,94188,"30,901","49,678",451,384,"15,759",149,457,"1,508",326,48.60,91.19,91.00,Rural,69948,24990,"2,250","5,271","2,390",753,"33,382",45,327,347,193,35.73,50.39,Urban
15796, Muzaffarpur ,947863,434025,"3,36,354","68,410","3,401","3,269","87,796","1,469","1,330","9,922","1,887",45.79,45," 4,739,315 ",Total,859579,407799,"3,31,434","67,226","1,206","1,124","37,326","1,381",907,"9,737","1,439",47.44,95.09,95.00,Rural,88284,26226,"4,920","1,184","2,195","2,145","50,470",88,423,185,448,29.71,39.32,Urban
15797, Nalanda ,487322,68777,"83,172","2,64,000","12,431","3,186","43,761",805,"2,703","7,136","1,351",14.11,14," 2,436,610 ",Total,411602,53025,"78,041","2,50,960","2,143","1,905","14,853",695,"2,413","6,614",953,12.88,94.94,94.00,Rural,75720,15752,"5,131","13,040","10,288","1,281","28,908",110,290,522,398,20.80,59.08,Urban
15798, Nawada ,346749,107007,"56,009","1,41,146","12,337","1,182","20,522",486,"1,505","5,829",726,30.86,30," 1,733,745 ",Total,313669,100437,"54,049","1,36,866","5,880",820,"7,776",438,"1,281","5,521",601,32.02,96.52,96.00,Rural,33080,6570,"1,960","4,280","6,457",362,"12,746",48,224,308,125,19.86,59.17,Urban
15799, Pashchim Champaran ,708065,378807,"2,17,170","67,797",424,"1,016","38,414",864,743,"1,841",989,53.50,53," 3,540,325 ",Total,635151,343048,"2,09,180","65,475",295,547,"12,801",788,548,"1,642",827,54.01,97.56,97.00,Rural,72914,35759,"7,990","2,322",129,469,"25,613",76,195,199,162,49.04,63.64,Urban
15800, Patna ,957441,153228,"70,320","3,58,640","26,410","6,831","3,21,307","1,484","6,105","11,250","1,866",16.00,16," 4,787,205 ",Total,544392,101366,"61,813","3,23,580","5,988","2,017","34,058","1,018","4,030","9,614",908,18.62,92.28,92.00,Rural,413049,51862,"8,507","35,060","20,422","4,814","2,87,249",466,"2,075","1,636",958,12.56,28.44,Urban
15801, Purba Champaran ,984303,488204,"3,55,871","76,349","1,079","1,491","52,358","1,095","1,213","5,190","1,453",49.60,49," 4,921,515 ",Total,913167,458397,"3,45,049","73,938",834,"1,091","25,953","1,053","1,077","4,610","1,165",50.20,96.68,96.00,Rural,71136,29807,"10,822","2,411",245,400,"26,405",42,136,580,288,41.90,61.66,Urban
15802, Purnia ,640713,104858,"4,77,922","15,350",825,525,"33,688",460,544,"5,222","1,319",16.37,16," 3,203,565 ",Total,576602,81484,"4,67,032","14,182",596,329,"6,472",424,318,"4,665","1,100",14.13,98.50,98.00,Rural,64111,23374,"10,890","1,168",229,196,"27,216",36,226,557,219,36.46,56.49,Urban
15803, Rohtas ,455878,95735,"28,139","2,67,568","11,430","1,771","41,659",525,"3,110","5,119",822,21.00,21," 2,279,390 ",Total,387316,80300,"25,509","2,55,664","2,294","1,014","14,128",442,"2,601","4,703",661,20.73,95.13,95.00,Rural,68562,15435,"2,630","11,904","9,136",757,"27,531",83,509,416,161,22.51,57.64,Urban
15804, Saharsa ,368212,106480,"1,69,002","64,714",657,661,"21,651",231,365,"3,961",490,28.92,28," 1,841,060 ",Total,339776,95259,"1,67,226","63,531",547,402,"8,162",216,293,"3,768",372,28.04,97.22,97.00,Rural,28436,11221,"1,776","1,183",110,259,"13,489",15,72,193,118,39.46,50.93,Urban
15805, Samastipur ,850353,311311,"4,14,695","58,701","1,247","1,017","46,123",873,932,"14,232","1,222",36.61,36," 4,251,765 ",Total,822111,302173,"4,12,655","58,201","1,011",786,"30,596",848,874,"13,841","1,126",36.76,95.84,95.00,Rural,28242,9138,"2,040",500,236,231,"15,527",25,58,391,96,32.36,43.57,Urban
15806, Saran ,641742,337088,"1,66,953","75,117","3,503","1,582","51,822",464,"1,308","3,010",895,52.53,52," 3,208,710 ",Total,585844,316478,"1,62,825","71,291","1,436",919,"27,768",436,"1,149","2,772",770,54.02,94.70,94.00,Rural,55898,20610,"4,128","3,826","2,067",663,"24,054",28,159,238,125,36.87,55.22,Urban
15807, Sheikhpura ,103748,9875,"25,319","56,949","1,644",485,"6,803",179,401,"1,852",241,9.52,9," 518,740 ",Total,86465,6917,"23,912","50,826",384,356,"1,857",151,312,"1,581",169,8.00,96.71,96.00,Rural,17283,2958,"1,407","6,123","1,260",129,"4,946",28,89,271,72,17.12,69.54,Urban
15808, Sheohar ,148889,51614,"66,967","23,701",68,158,"3,983",187,296,"1,721",194,34.67,34," 744,445 ",Total,143121,49029,"65,520","23,262",55,132,"2,809",185,259,"1,705",165,34.26,97.52,97.00,Rural,5768,2585,"1,447",439,13,26,"1,174",2,37,16,29,44.82,78.02,Urban
15809, Sitamarhi ,733083,317931,"2,55,306","1,04,273",765,"1,245","39,465",623,"1,093","11,322","1,060",43.37,43," 3,665,415 ",Total,696184,303564,"2,51,413","1,02,669",653,871,"23,318",588,"1,046","11,072",990,43.60,96.15,96.00,Rural,36899,14367,"3,893","1,604",112,374,"16,147",35,47,250,70,38.94,54.81,Urban
15810, Siwan ,544879,299389,"1,64,866","31,379","1,258","1,568","42,384",477,876,"1,873",809,54.95,54," 2,724,395 ",Total,516701,290139,"1,63,530","30,851",787,886,"26,918",459,695,"1,726",710,56.15,94.26,94.00,Rural,28178,9250,"1,336",528,471,682,"15,466",18,181,147,99,32.83,41.64,Urban
15811, Supaul ,440804,135471,"1,51,429","1,28,672",329,625,"12,111",341,513,"10,561",752,30.73,30," 2,204,020 ",Total,420420,126146,"1,48,203","1,27,359",295,483,"5,936",332,506,"10,480",680,30.00,98.11,98.00,Rural,20384,9325,"3,226","1,313",34,142,"6,175",9,7,81,72,45.75,68.58,Urban
15812, Vaishali ,632626,314041,"1,81,308","76,967","1,657","1,237","47,300",635,974,"7,339","1,168",49.64,49," 3,163,130 ",Total,595165,297116,"1,77,988","75,266","1,182","1,012","32,863",611,909,"7,191","1,027",49.92,93.88,93.00,Rural,37461,16925,"3,320","1,701",475,225,"14,437",24,65,148,141,45.18,60.25,Urban
15814, Bastar ,306807,278605,"1,533",102,108,"2,375","22,075",120,338,66,"1,485",90.81,90," 1,534,035 ",Total,265210,258055,"1,288",67,41,657,"3,318",96,309,49,"1,330",97.30,97.85,97.00,Rural,41597,20550,245,35,67,"1,718","18,757",24,29,17,155,49.40,50.28,Urban
15815, Bilaspur ,50402,48408,222,77,7,304,"1,022",13,38,29,282,96.04,96," 252,010 ",Total,44544,43825,151,20,7,81,130,9,35,29,257,98.39,98.85,98.00,Rural,5858,4583,71,57,0,223,892,4,3,0,25,78.23,80.42,Urban
15815, Bilaspur ,615895,495909,"6,413","27,358","2,753","3,429","77,727",531,636,190,949,80.52,80," 3,079,475 ",Total,475742,433925,"5,425","26,784",586,579,"6,904",383,483,129,544,91.21,98.13,98.00,Rural,140153,61984,988,574,"2,167","2,850","70,823",148,153,61,405,44.23,46.93,Urban
15819, Janjgir-Champa ,377496,337691,"4,299","13,284",725,870,"19,129",271,520,174,533,89.46,89," 1,887,480 ",Total,330103,305801,"3,777","12,744",375,350,"5,879",196,463,155,363,92.64,97.80,97.00,Rural,47393,31890,522,540,350,520,"13,250",75,57,19,170,67.29,70.31,Urban
15816, Dantewada ,114067,100945,455,40,104,"1,289","10,406",87,118,41,582,88.50,88," 570,335 ",Total,92379,89370,329,30,15,482,"1,514",40,95,41,463,96.74,97.19,97.00,Rural,21688,11575,126,10,89,807,"8,892",47,23,0,119,53.37,54.41,Urban
15817, Dhamtari ,168278,140518,"1,243","10,318",68,500,"14,568",39,673,58,293,83.50,83," 841,390 ",Total,136570,121784,"1,020","10,130",26,155,"2,554",28,635,40,198,89.17,97.39,97.00,Rural,31708,18734,223,188,42,345,"12,014",11,38,18,95,59.08,60.57,Urban
15818, Durg ,693001,427167,"6,107","52,254","68,455","4,761","1,29,193",771,595,"2,034","1,664",61.64,61," 3,465,005 ",Total,422563,364213,"4,422","42,884","1,624",615,"7,544",161,304,98,698,86.19,97.79,97.00,Rural,270438,62954,"1,685","9,370","66,831","4,146","1,21,649",610,291,"1,936",966,23.28,52.79,Urban
15820, Jashpur ,190527,178995,425,"2,447",61,477,"6,628",57,106,145,165,93.95,93," 952,635 ",Total,175008,168707,"1,351","2,418",17,177,"1,939",42,86,142,129,96.40,98.64,98.00,Rural,15519,10288,95,29,44,300,"4,689",15,20,3,36,66.29,67.39,Urban
15821, Kanker ,176758,154737,"1,792","12,657",57,663,"6,375",104,77,30,266,87.54,87," 883,790 ",Total,158483,142573,"1,638","12,565",38,229,"1,047",92,70,24,207,89.96,98.96,98.00,Rural,18275,12164,154,92,19,434,"5,328",12,7,6,59,66.56,68.04,Urban
15823,Korba,277071,197700,"1,769","1,330","28,827","1,041","43,357","2,414",220,64,349,71.35,71," 1,385,355 ",Total,180798,169023,"1,207",715,"5,247",152,"4,028",153,109,20,144,93.49,97.46,97.00,Rural,96273,28677,562,615,"23,580",889,"39,329","2,261",111,44,205,29.79,55.55,Urban
15824, Koriya ,152075,112761,"1,541","3,793","7,084",625,"25,605",244,79,51,292,74.15,74," 760,375 ",Total,107424,99553,"1,182","3,550",159,106,"2,588",45,52,12,177,92.67,97.24,97.00,Rural,44651,13208,359,243,"6,925",519,"23,017",199,27,39,115,29.58,46.53,Urban
15825, Mahasamund ,256504,230573,"2,045","5,841",151,609,"13,200",105,"3,580",52,348,89.89,89," 1,282,520 ",Total,230027,215008,"1,644","5,773",112,211,"3,362",87,"3,516",40,274,93.47,96.76,96.00,Rural,26477,15565,401,68,39,398,"9,838",18,64,12,74,58.79,60.75,Urban
15826, Raigarh ,361664,320472,"3,191","2,901","3,316","1,519","27,771",224,"1,598",109,563,88.61,88," 1,808,320 ",Total,309691,293114,"2,532","2,682","1,414",545,"7,276",133,"1,546",97,352,94.65,96.82,96.00,Rural,51973,27358,659,219,"1,902",974,"20,495",91,52,12,211,52.64,58.01,Urban
15827, Raipur ,861067,598264,"11,300","61,856","12,315","5,840","1,66,505",591,"1,046","1,462","1,888",69.48,69," 4,305,335 ",Total,561916,477274,"6,569","58,561","3,964",863,"12,088",321,888,562,826,84.94,97.33,97.00,Rural,299151,120990,"4,731","3,295","8,351","4,977","1,54,417",270,158,900,"1,062",40.44,46.22,Urban
15828, Raj Nandgaon ,315535,278934,"1,604","2,703","2,914","1,902","26,486",154,143,111,584,88.40,88," 1,577,675 ",Total,256900,248364,"1,270","2,445",495,472,"3,159",134,122,81,358,96.68,98.35,98.00,Rural,58635,30570,334,258,"2,419","1,430","23,327",20,21,30,226,52.14,57.32,Urban
15829, Surguja ,520566,470588,"3,960","11,845","2,184","1,180","29,433",328,390,169,489,90.40,90," 2,602,830 ",Total,472991,449288,"3,535","11,685",980,287,"6,177",217,319,124,379,94.99,98.44,98.00,Rural,47575,21300,425,160,"1,204",893,"23,256",111,71,45,110,44.77,48.63,Urban
15836, Ahmadabad ,1494656,282941,"19,566","22,923","2,995","1,81,459","9,65,017",327,"14,099",406,"4,923",18.93,18," 7,473,280 ",Total,228886,161976,"15,992","16,669",301,"7,836","24,157",107,"1,057",84,707,70.77,85.20,85.00,Rural,1265770,120965,"3,574","6,254","2,694","1,73,623","9,40,860",220,"13,042",322,"4,216",9.56,10.57,Urban
