State,DistrictID,DistrictName,gwDepth,GCAKharif,GCARabi,GCASummer,GIAKharif,GIARabi,GIASummer,kwhkharif,kwhrabi,kwhsummer,TotalEnergy
Chhattisgarh,15820, Jashpur ,15,261109.15,34785.85,4432,54.89515558,1607.8007,1.389246986,36.92,123.04,327.5,15.37
Chhattisgarh,15821, Kanker ,16,251368.75,15790.25,882,1540.85198,1244.45809,82.16317636,43.58,147.09,374.22,13.6
Chhattisgarh,15824, Koriya ,30,132441.7,12355.3,198,3339.789489,1608.067111,159.0115773,86.88,254.32,710.83,14.78
Chhattisgarh,15825, Mahasamund ,42,106937.5,16050.5,338,2914.639685,1793.603112,43.64098135,142.58,358.6,957.83,21.32
Chhattisgarh,15826, Raigarh ,14,266656.7,14419.3,3130,21351.10922,4326.447776,122.4673668,39.24,120,306.44,13.15
Chhattisgarh,15826, Raigarh ,14,266656.7,14419.3,3130,21351.10922,4326.447776,122.4673668,39.24,120,306.44,13.15
Chhattisgarh,15827, Raipur ,62,280954.75,14803.25,7770,11407.59809,8904.462283,704.4054091,201.63,490.02,1393.27,74.72
Chhattisgarh,15828, Raj Nandgaon ,33,542012.35,111391.65,7242,4655.82312,3211.821441,90.48194895,103.33,266.82,785.58,91.41
Chhattisgarh,15828, Raj Nandgaon ,33,542012.35,111391.65,7242,4655.82312,3211.821441,90.48194895,103.33,266.82,785.58,91.41
Chhattisgarh,15828, Raj Nandgaon ,33,542012.35,111391.65,7242,4655.82312,3211.821441,90.48194895,103.33,266.82,785.58,91.41
Chhattisgarh,15829, Surguja ,29,319891.8,125434.2,1433,1307.384098,3918.096434,18.80801348,76.52,242.73,675.05,55.89
Goa,15834, North Goa ,27,280954.75,14803.25,7770,0,0,0,11.79,125.77,0,5.17
Goa,15835, South Goa ,5,22351,9137,2724,0,0,0,4.4,42.55,0,0.48
Gujarat,15836, Ahmadabad ,115,69189,55839,43264,0,0,0,790.61,1311.42,1709.49,201.88
Gujarat,15837, Amreli ,73,69189,55839,43264,0,0,0,348.7,704.92,946.54,104.43
Gujarat,15838, Anand ,41,520242,109700,78057,0,0,0,222.43,453.81,626.19,214.37
Gujarat,15839, Banas Kantha ,137,446697,273100,193902,0,0,0,940.23,1316.08,2064.66,1179.76
Gujarat,15840, Bharuch ,21,521397,117700,131402,0,0,0,33.58,121.67,167.27,53.8
Gujarat,15841, Bhavnagar ,36,114507,76500,18292,0,0,0,127.2,300.27,380.58,44.49
Gujarat,15842, Dahod ,11,622142,216100,62457,0,0,0,58.81,104.53,210.83,72.34
Gujarat,15843, Gandhinagar ,135,299160,201900,167840,0,0,0,1010.32,1514.39,2092.77,959.25
Gujarat,15844, Jamnagar ,50,530647,210000,208652,0,0,0,188.32,303,464.56,260.49
Gujarat,15845, Junagadh ,46,22184,29964,6,0,0,0,136.38,309.45,415.16,12.3
Gujarat,15847, Kheda ,73,573955,62700,66245,0,0,0,397.56,818.05,1129.71,354.31
Gujarat,15848, Mahesana ,159,520242,109700,78057,0,0,0,1080.11,1687.48,2459.94,939.05
Gujarat,15849, Narmada ,34,521595,86800,84005,0,0,0,141.84,373.86,521.48,150.24
Gujarat,15850, Navsari ,25,263840,90000,26760,0,0,0,50.48,158.69,327.66,36.36
Gujarat,15851, Panch Mahals ,18,320247,154200,61852,0,0,0,103.69,194.66,280.93,80.59
Gujarat,15852, Patan ,148,100177,45700,37222,0,0,0,985.28,1556.18,2265.43,254.14
Gujarat,15853, Porbandar ,34,147490,54500,55210,0,0,0,9.52,29.41,40.94,5.26
Gujarat,15854, Rajkot ,42,264777,23700,13022,0,0,0,216.62,387.65,559.68,73.83
Gujarat,15855, Sabar Kantha ,42,363425,138100,101475,0,0,0,280.2,466.52,679.29,235.18
Gujarat,15856, Surat ,20,112542,28700,23857,0,0,0,63.61,170.44,357.4,20.57
Gujarat,15857, Surendranagar ,63,716190,196600,210910,0,0,0,373.6,672.24,902.89,590.15
Gujarat,15858, The Dangs ,13,429267,101100,42432,0,0,0,24.73,113.87,193.55,30.34
Gujarat,15859, Vadodara ,56,451130,200900,180270,0,0,0,252.97,624.1,887.85,399.55
Gujarat,15860, Valsad ,20,684832,429300,427767,0,0,0,37.19,117.35,265.61,189.46
Haryana,15861, Ambala ,477,53290,700,210,36583.50459,36172.3876,501.4156268,2996.88,2524.79,0,161.47
Haryana,15862, Bhiwani ,39,489425,251800,181702,15769.83978,43197.53274,513.7426434,261.03,284.45,0,199.37
Haryana,15863, Faridabad ,50,162190,44100,36810,22119.00013,36862.68923,1.817380026,313.7,408.73,0,68.9
Haryana,15864, Fatehabad ,25,116696,104764,17318,47374.73134,47225.89917,196.6225539,327.1,190.78,0,58.15
Haryana,15865, Gurgaon ,52,348318,411907,66221,12966.30218,35863.92058,24.94522675,272.95,411.35,0,264.51
Haryana,15866, Hisar ,19,120908,148585,7743,6692.284369,6802.386848,4.106237054,171.63,135.43,0,40.87
Haryana,15867, Jhajjar ,14,222120,313551,117916,4303.464815,8361.607054,4.621467545,104.93,114,0,59.05
